scheme,capacity,rate,revoked,distribution,workload_seed,cover_nodes,public_state_bytes,authority_refresh_ms,verified,measurement,state_semantics,token_bytes
HiddenCover,1048576,0.01,10486,random,4.0,60797.0,1945616,47.555,True,4,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,random,5.0,60807.0,1945936,40.2518,True,5,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,random,6.0,60624.0,1940080,40.7332,True,6,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,random,7.0,60705.0,1942672,43.8677,True,7,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,random,8.0,60737.0,1943696,48.5174,True,8,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,random,9.0,60574.0,1938480,46.3015,True,9,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,random,10.0,60900.0,1948912,44.5377,True,10,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,random,11.0,60744.0,1943920,43.4639,True,11,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,random,12.0,60829.0,1946640,41.8227,True,12,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,random,13.0,60887.0,1948496,39.735600000000005,True,13,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,random,14.0,60801.0,1945744,40.6134,True,14,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,random,15.0,60775.0,1944912,48.7693,True,15,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,random,16.0,60648.0,1940848,41.5411,True,16,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,random,17.0,60691.0,1942224,45.9276,True,17,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,random,18.0,60635.0,1940432,44.878,True,18,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,random,19.0,60733.0,1943568,46.6734,True,19,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,dispersed,0.0,68814.0,2202160,47.8508,True,0,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,dispersed,1.0,68814.0,2202160,44.2012,True,1,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,dispersed,2.0,68814.0,2202160,44.2532,True,2,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,dispersed,3.0,68814.0,2202160,48.8155,True,3,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,dispersed,4.0,68814.0,2202160,48.0908,True,4,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,dispersed,5.0,68814.0,2202160,45.3806,True,5,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,dispersed,6.0,68814.0,2202160,43.2656,True,6,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,dispersed,7.0,68814.0,2202160,45.3481,True,7,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,dispersed,8.0,68814.0,2202160,50.1273,True,8,authenticated Complete-Subtree Cover,
