scheme,capacity,revoked,distribution,workload_seed,measurement,cover_nodes,holder_upload_bytes,holder_download_bytes,holder_compute_ms,server_per_holder_ms,verified,zero_semantics
HiddenCover,16384,10,clustered,2.0,7,16.0,0,624,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,8,16.0,0,624,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,9,16.0,0,624,0.0294,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,10,16.0,0,624,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,11,16.0,0,624,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,12,16.0,0,624,0.029,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,13,16.0,0,624,0.029,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,14,16.0,0,624,0.0293,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,15,16.0,0,624,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,16,16.0,0,624,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,17,16.0,0,624,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,18,16.0,0,624,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,19,16.0,0,624,0.0294,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,20,16.0,0,624,0.029,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,21,16.0,0,624,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,22,16.0,0,624,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,23,16.0,0,624,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,24,16.0,0,624,0.0294,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,25,16.0,0,624,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,26,16.0,0,624,0.029,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,27,16.0,0,624,0.0291,0.0,True,no private request; no individualized server witness update
