scheme,cover_nodes,padded_set_size,measurement,presentation_bytes,show_ms,verify_ms,state_check_ms,match_ms,credential_bridge_ms,cover_transform_ms,oom_ms,verified,protocol_payload_bytes,m,k,revoked,json_wire_bytes,proof_bytes
HiddenCover,32,32,8,1226,30.6189,18.6859,0.0517,0.0003999999999999,1.8144,6.5902,22.159,True,1226,,,,,1226
HiddenCover,32,32,9,1226,31.925,17.6416,0.0526,0.0001999999999999,1.7933,6.8326,23.2433,True,1226,,,,,1226
HiddenCover,32,32,10,1226,31.834800000000005,24.0375,0.0523,0.0001999999999999,1.7496,6.7741,23.2553,True,1226,,,,,1226
HiddenCover,32,32,11,1226,31.9885,18.2349,0.0686,0.0001999999999999,3.4906,6.8439,21.5785,True,1226,,,,,1226
HiddenCover,32,32,12,1226,31.8276,17.8548,0.045,9.99999999999e-05,2.9699,6.2018,22.6067,True,1226,,,,,1226
HiddenCover,32,32,13,1226,34.490100000000005,18.4296,0.0523,9.99999999999e-05,2.5254000000000003,6.629099999999999,25.279,True,1226,,,,,1226
HiddenCover,32,32,14,1226,32.9634,18.6665,0.0589,9.99999999999e-05,2.0894,7.7654,23.0453,True,1226,,,,,1226
HiddenCover,32,32,15,1226,30.9387,18.4101,0.0532,0.0001999999999999,1.8193,5.9926,23.068,True,1226,,,,,1226
HiddenCover,32,32,16,1226,37.249,19.4576,0.0703,9.99999999999e-05,2.0565,6.699400000000001,28.4185,True,1226,,,,,1226
HiddenCover,32,32,17,1226,32.8648,19.0392,0.052,9.99999999999e-05,1.8105,7.5597,23.4387,True,1226,,,,,1226
HiddenCover,32,32,18,1226,31.8996,17.7633,0.0523,9.99999999999e-05,1.8857,7.5372,22.4193,True,1226,,,,,1226
HiddenCover,32,32,19,1226,32.7986,18.7268,0.0556,9.99999999999e-05,1.7706,7.877099999999999,23.092,True,1226,,,,,1226
HiddenCover,32,32,20,1226,31.4978,17.411099999999998,0.0521,0.0,1.7904,7.036899999999999,22.6148,True,1226,,,,,1226
