scheme,capacity,revoked,distribution,workload_seed,measurement,cover_nodes,holder_upload_bytes,holder_download_bytes,holder_compute_ms,server_per_holder_ms,verified,zero_semantics
ALLOSAUR,16384,300,not_applicable,,8,,4510,4425,26.66812396214896,92.8721,True,none
ALLOSAUR,16384,300,not_applicable,,9,,4510,4425,25.047662445054947,93.9022,True,none
ALLOSAUR,16384,300,not_applicable,,10,,4510,4425,24.202841183816183,104.62845,True,none
ALLOSAUR,16384,300,not_applicable,,11,,4510,4425,23.760813163919416,97.4494,True,none
ALLOSAUR,16384,300,not_applicable,,12,,4510,4425,24.399442561284868,104.3748,True,none
ALLOSAUR,16384,300,not_applicable,,13,,4510,4425,24.427443347723706,102.22555,True,none
ALLOSAUR,16384,300,not_applicable,,14,,4510,4425,27.109083571428574,104.81095,True,none
ALLOSAUR,16384,300,not_applicable,,15,,4510,4425,25.064614405906596,95.5655,True,none
ALLOSAUR,16384,300,not_applicable,,16,,4510,4425,25.942662960568843,96.23585,True,none
ALLOSAUR,16384,300,not_applicable,,17,,4510,4425,24.150807219169717,95.12515,True,none
ALLOSAUR,16384,300,not_applicable,,18,,4510,4425,25.73739311740891,96.16585,True,none
ALLOSAUR,16384,300,not_applicable,,19,,4510,4425,27.345369931318682,93.38715,True,none
ALLOSAUR,16384,300,not_applicable,,20,,4510,4425,24.501177524856097,96.4572,True,none
ALLOSAUR,16384,300,not_applicable,,21,,4510,4425,25.77962980769231,92.58815,True,none
ALLOSAUR,16384,300,not_applicable,,22,,4510,4425,24.158842701863353,96.50945,True,none
ALLOSAUR,16384,300,not_applicable,,23,,4510,4425,23.776191666666666,99.1545,True,none
ALLOSAUR,16384,300,not_applicable,,24,,4510,4425,24.092800967032964,96.08625,True,none
ALLOSAUR,16384,300,not_applicable,,25,,4510,4425,24.434101986475063,100.3029,True,none
ALLOSAUR,16384,300,not_applicable,,26,,4510,4425,23.666784930809932,92.6572,True,none
ALLOSAUR,16384,300,not_applicable,,27,,4510,4425,24.76997420525903,96.7491,True,none
ALLOSAUR,16384,300,not_applicable,,28,,4510,4425,28.842318406593407,92.39155,True,none
ALLOSAUR,16384,300,not_applicable,,29,,4510,4425,26.877704862637362,96.2474,True,none
ALLOSAUR,16384,1000,not_applicable,,0,,8030,8025,44.60471206896551,323.0258,True,none
ALLOSAUR,16384,1000,not_applicable,,1,,8030,8025,44.735070689655174,342.1146,True,none
ALLOSAUR,16384,1000,not_applicable,,2,,8030,8025,42.2345816091954,324.6336,True,none
ALLOSAUR,16384,1000,not_applicable,,3,,8030,8025,49.80852607758621,344.1388,True,none
ALLOSAUR,16384,1000,not_applicable,,4,,8030,8025,44.06529637931035,350.3934,True,none
ALLOSAUR,16384,1000,not_applicable,,5,,8030,8025,43.321270977011494,333.7862,True,none
ALLOSAUR,16384,1000,not_applicable,,6,,8030,8025,44.765476108374386,316.6076,True,none
ALLOSAUR,16384,1000,not_applicable,,7,,8030,8025,43.59052693965517,330.5423,True,none
ALLOSAUR,16384,1000,not_applicable,,8,,8030,8025,44.07547701149426,337.3608,True,none
ALLOSAUR,16384,1000,not_applicable,,9,,8030,8025,46.78567672413793,341.0409,True,none
ALLOSAUR,16384,1000,not_applicable,,10,,8030,8025,46.02287413793103,326.4094,True,none
ALLOSAUR,16384,1000,not_applicable,,11,,8030,8025,45.39661666666667,311.545,True,none
ALLOSAUR,16384,1000,not_applicable,,12,,8030,8025,45.59102148541114,316.2835,True,none
ALLOSAUR,16384,1000,not_applicable,,13,,8030,8025,45.290186884236455,341.9729,True,none
ALLOSAUR,16384,1000,not_applicable,,14,,8030,8025,46.556286666666665,323.3045,True,none
ALLOSAUR,16384,1000,not_applicable,,15,,8030,8025,47.02579617456897,345.5867,True,none
ALLOSAUR,16384,1000,not_applicable,,16,,8030,8025,44.08536394523327,321.7024,True,none
ALLOSAUR,16384,1000,not_applicable,,17,,8030,8025,48.923562835249044,337.812,True,none
ALLOSAUR,16384,1000,not_applicable,,18,,8030,8025,45.84452268602541,326.036,True,none
ALLOSAUR,16384,1000,not_applicable,,19,,8030,8025,49.07151978448276,321.9375,True,none
ALLOSAUR,16384,1000,not_applicable,,20,,8030,8025,45.50672598522167,330.9119,True,none
ALLOSAUR,16384,1000,not_applicable,,21,,8030,8025,50.56246657523511,347.5921,True,none
ALLOSAUR,16384,1000,not_applicable,,22,,8030,8025,44.29432211394303,311.0802,True,none
ALLOSAUR,16384,1000,not_applicable,,23,,8030,8025,44.3119189295977,320.496,True,none
ALLOSAUR,16384,1000,not_applicable,,24,,8030,8025,43.35928193103448,353.4212,True,none
ALLOSAUR,16384,1000,not_applicable,,25,,8030,8025,44.09737692307692,355.3442,True,none
ALLOSAUR,16384,1000,not_applicable,,26,,8030,8025,44.7658725734355,324.0853,True,none
ALLOSAUR,16384,1000,not_applicable,,27,,8030,8025,44.99612072044335,326.0298,True,none
ALLOSAUR,16384,1000,not_applicable,,28,,8030,8025,44.978726634958385,335.9773,True,none
ALLOSAUR,16384,1000,not_applicable,,29,,8030,8025,44.32871267241379,326.1031,True,none
ALLOSAUR,16384,3000,not_applicable,,0,,13950,14025,79.52541271186442,969.3054,True,none
ALLOSAUR,16384,3000,not_applicable,,1,,13950,14025,79.732652259887,998.6423,True,none
ALLOSAUR,16384,3000,not_applicable,,2,,13950,14025,76.72640677966102,1014.2105,True,none
ALLOSAUR,16384,3000,not_applicable,,3,,13950,14025,77.91226313559322,994.8098,True,none
ALLOSAUR,16384,3000,not_applicable,,4,,13950,14025,77.01268039548023,1019.4489,True,none
ALLOSAUR,16384,3000,not_applicable,,5,,13950,14025,81.47443502824859,965.2287,True,none
ALLOSAUR,16384,3000,not_applicable,,6,,13950,14025,77.74558151735269,992.2831,True,none
ALLOSAUR,16384,3000,not_applicable,,7,,13950,14025,77.74974699858757,990.6557,True,none
ALLOSAUR,16384,3000,not_applicable,,8,,13950,14025,79.19936892655367,1006.8612,True,none
ALLOSAUR,16384,3000,not_applicable,,9,,13950,14025,82.12302943502824,990.6837,True,none
ALLOSAUR,16384,3000,not_applicable,,10,,13950,14025,80.4701884951207,997.8984,True,none
ALLOSAUR,16384,3000,not_applicable,,11,,13950,14025,83.36372916666667,1025.5134,True,none
ALLOSAUR,16384,3000,not_applicable,,12,,13950,14025,80.82616816601478,1001.6663,True,none
ALLOSAUR,16384,3000,not_applicable,,13,,13950,14025,83.29822590799031,972.8681,True,none
ALLOSAUR,16384,3000,not_applicable,,14,,13950,14025,84.31799203389829,1062.0258,True,none
