scheme,capacity,rate,revoked,distribution,workload_seed,cover_nodes,public_state_bytes,authority_refresh_ms,verified
HiddenCover,1048576,0.05,52429,random,4,186773,5976848,119.696,true
HiddenCover,1048576,0.05,52429,random,5,186530,5969072,128.2592,true
HiddenCover,1048576,0.05,52429,random,6,186627,5972176,135.5984,true
HiddenCover,1048576,0.05,52429,random,7,186525,5968912,117.02669999999999,true
HiddenCover,1048576,0.05,52429,random,8,186414,5965360,115.1049,true
HiddenCover,1048576,0.05,52429,random,9,186316,5962224,115.6214,true
HiddenCover,1048576,0.05,52429,random,10,186376,5964144,121.04719999999999,true
HiddenCover,1048576,0.05,52429,random,11,186624,5972080,125.9052,true
HiddenCover,1048576,0.05,52429,random,12,186648,5972848,121.9702,true
HiddenCover,1048576,0.05,52429,random,13,186553,5969808,124.2779,true
HiddenCover,1048576,0.05,52429,random,14,187088,5986928,117.6078,true
HiddenCover,1048576,0.05,52429,random,15,186694,5974320,123.44529999999999,true
HiddenCover,1048576,0.05,52429,random,16,186571,5970384,161.95940000000002,true
HiddenCover,1048576,0.05,52429,random,17,186727,5975376,142.9706,true
HiddenCover,1048576,0.05,52429,random,18,186775,5976912,125.03970000000001,true
HiddenCover,1048576,0.05,52429,random,19,186971,5983184,127.7479,true
HiddenCover,1048576,0.05,52429,dispersed,0,222823,7130448,159.2373,true
HiddenCover,1048576,0.05,52429,dispersed,1,222823,7130448,134.69310000000002,true
HiddenCover,1048576,0.05,52429,dispersed,2,222823,7130448,133.52100000000002,true
HiddenCover,1048576,0.05,52429,dispersed,3,222823,7130448,133.0745,true
HiddenCover,1048576,0.05,52429,dispersed,4,222823,7130448,135.7057,true
HiddenCover,1048576,0.05,52429,dispersed,5,222823,7130448,141.97969999999998,true
HiddenCover,1048576,0.05,52429,dispersed,6,222823,7130448,137.0174,true
HiddenCover,1048576,0.05,52429,dispersed,7,222823,7130448,135.07469999999998,true
HiddenCover,1048576,0.05,52429,dispersed,8,222823,7130448,140.1344,true
HiddenCover,1048576,0.05,52429,dispersed,9,222823,7130448,135.8304,true
HiddenCover,1048576,0.05,52429,dispersed,10,222823,7130448,138.0718,true
HiddenCover,1048576,0.05,52429,dispersed,11,222823,7130448,146.24360000000001,true
HiddenCover,1048576,0.05,52429,dispersed,12,222823,7130448,142.1011,true
HiddenCover,1048576,0.05,52429,dispersed,13,222823,7130448,172.4955,true
HiddenCover,1048576,0.05,52429,dispersed,14,222823,7130448,136.04459999999997,true
HiddenCover,1048576,0.05,52429,dispersed,15,222823,7130448,148.2377,true
HiddenCover,1048576,0.05,52429,dispersed,16,222823,7130448,153.306,true
HiddenCover,1048576,0.05,52429,dispersed,17,222823,7130448,142.5204,true
HiddenCover,1048576,0.05,52429,dispersed,18,222823,7130448,139.96959999999999,true
HiddenCover,1048576,0.05,52429,dispersed,19,222823,7130448,137.55100000000002,true
HiddenCover,1048576,0.1,104858,clustered,0,20,752,4.731800000000001,true
HiddenCover,1048576,0.1,104858,clustered,1,14,560,4.053,true
HiddenCover,1048576,0.1,104858,clustered,2,29,1040,5.440300000000001,true
HiddenCover,1048576,0.1,104858,clustered,3,23,848,4.4786,true
HiddenCover,1048576,0.1,104858,clustered,4,23,848,4.8829,true
HiddenCover,1048576,0.1,104858,clustered,5,20,752,5.5991,true
HiddenCover,1048576,0.1,104858,clustered,6,27,976,5.9054,true
HiddenCover,1048576,0.1,104858,clustered,7,22,816,6.0484,true
HiddenCover,1048576,0.1,104858,clustered,8,18,688,3.9964,true
HiddenCover,1048576,0.1,104858,clustered,9,20,752,4.5062,true
HiddenCover,1048576,0.1,104858,clustered,10,16,624,4.9521,true
HiddenCover,1048576,0.1,104858,clustered,11,22,816,4.2836,true
HiddenCover,1048576,0.1,104858,clustered,12,14,560,4.890000000000001,true
HiddenCover,1048576,0.1,104858,clustered,13,19,720,4.1552999999999995,true
HiddenCover,1048576,0.1,104858,clustered,14,16,624,4.536499999999999,true
HiddenCover,1048576,0.1,104858,clustered,15,20,752,4.247800000000001,true
HiddenCover,1048576,0.1,104858,clustered,16,21,784,4.3381,true
HiddenCover,1048576,0.1,104858,clustered,17,20,752,4.8481000000000005,true
HiddenCover,1048576,0.1,104858,clustered,18,18,688,4.160900000000001,true
HiddenCover,1048576,0.1,104858,clustered,19,26,944,4.896,true
HiddenCover,1048576,0.1,104858,random,0,277264,8872560,178.47979999999998,true
HiddenCover,1048576,0.1,104858,random,1,277667,8885456,184.7211,true
HiddenCover,1048576,0.1,104858,random,2,277067,8866256,189.8382,true
HiddenCover,1048576,0.1,104858,random,3,277083,8866768,172.4123,true
HiddenCover,1048576,0.1,104858,random,4,277156,8869104,180.40030000000002,true
HiddenCover,1048576,0.1,104858,random,5,278117,8899856,187.10170000000002,true
HiddenCover,1048576,0.1,104858,random,6,276965,8862992,185.90789999999998,true
HiddenCover,1048576,0.1,104858,random,7,277415,8877392,198.9168,true
HiddenCover,1048576,0.1,104858,random,8,277455,8878672,174.34359999999998,true
HiddenCover,1048576,0.1,104858,random,9,277646,8884784,179.1036,true
HiddenCover,1048576,0.1,104858,random,10,277322,8874416,179.3687,true
HiddenCover,1048576,0.1,104858,random,11,277473,8879248,177.56040000000002,true
HiddenCover,1048576,0.1,104858,random,12,276930,8861872,180.764,true
HiddenCover,1048576,0.1,104858,random,13,277144,8868720,177.6275,true
HiddenCover,1048576,0.1,104858,random,14,277062,8866096,183.6667,true
HiddenCover,1048576,0.1,104858,random,15,276899,8860880,181.1062,true
HiddenCover,1048576,0.1,104858,random,16,277151,8868944,181.45819999999998,true
HiddenCover,1048576,0.1,104858,random,17,276975,8863312,184.5275,true
HiddenCover,1048576,0.1,104858,random,18,277055,8865872,185.257,true
HiddenCover,1048576,0.1,104858,random,19,277647,8884816,175.0334,true
HiddenCover,1048576,0.1,104858,dispersed,0,340788,10905328,212.002,true
HiddenCover,1048576,0.1,104858,dispersed,1,340788,10905328,215.5311,true
HiddenCover,1048576,0.1,104858,dispersed,2,340788,10905328,209.37,true
HiddenCover,1048576,0.1,104858,dispersed,3,340788,10905328,217.8345,true
HiddenCover,1048576,0.1,104858,dispersed,4,340788,10905328,211.76590000000002,true
HiddenCover,1048576,0.1,104858,dispersed,5,340788,10905328,211.006,true
HiddenCover,1048576,0.1,104858,dispersed,6,340788,10905328,212.00900000000001,true
HiddenCover,1048576,0.1,104858,dispersed,7,340788,10905328,217.3419,true
HiddenCover,1048576,0.1,104858,dispersed,8,340788,10905328,206.1799,true
HiddenCover,1048576,0.1,104858,dispersed,9,340788,10905328,203.1941,true
HiddenCover,1048576,0.1,104858,dispersed,10,340788,10905328,207.1706,true
HiddenCover,1048576,0.1,104858,dispersed,11,340788,10905328,210.1851,true
HiddenCover,1048576,0.1,104858,dispersed,12,340788,10905328,206.99790000000002,true
HiddenCover,1048576,0.1,104858,dispersed,13,340788,10905328,206.5831,true
HiddenCover,1048576,0.1,104858,dispersed,14,340788,10905328,208.3521,true
HiddenCover,1048576,0.1,104858,dispersed,15,340788,10905328,205.6016,true
HiddenCover,1048576,0.1,104858,dispersed,16,340788,10905328,206.4401,true
HiddenCover,1048576,0.1,104858,dispersed,17,340788,10905328,208.35219999999998,true
HiddenCover,1048576,0.1,104858,dispersed,18,340788,10905328,207.7362,true
HiddenCover,1048576,0.1,104858,dispersed,19,340788,10905328,205.2159,true
HiddenCover,1048576,0.15,157286,clustered,0,18,688,7.7212000000000005,true
HiddenCover,1048576,0.15,157286,clustered,1,18,688,7.4504,true
HiddenCover,1048576,0.15,157286,clustered,2,29,1040,7.6145,true
HiddenCover,1048576,0.15,157286,clustered,3,27,976,7.700399999999999,true
HiddenCover,1048576,0.15,157286,clustered,4,19,720,9.203,true
HiddenCover,1048576,0.15,157286,clustered,5,17,656,7.015000000000001,true
HiddenCover,1048576,0.15,157286,clustered,6,19,720,7.15,true
HiddenCover,1048576,0.15,157286,clustered,7,18,688,7.2556,true
HiddenCover,1048576,0.15,157286,clustered,8,14,560,8.3338,true
HiddenCover,1048576,0.15,157286,clustered,9,17,656,7.787299999999999,true
HiddenCover,1048576,0.15,157286,clustered,10,19,720,7.1446000000000005,true
HiddenCover,1048576,0.15,157286,clustered,11,17,656,6.9887,true
HiddenCover,1048576,0.15,157286,clustered,12,20,752,8.952699999999998,true
HiddenCover,1048576,0.15,157286,clustered,13,23,848,8.5174,true
HiddenCover,1048576,0.15,157286,clustered,14,24,880,7.297599999999999,true
HiddenCover,1048576,0.15,157286,clustered,15,21,784,7.0226999999999995,true
HiddenCover,1048576,0.15,157286,clustered,16,21,784,6.874199999999999,true
HiddenCover,1048576,0.15,157286,clustered,17,20,752,8.9538,true
HiddenCover,1048576,0.15,157286,clustered,18,14,560,8.288,true
HiddenCover,1048576,0.15,157286,clustered,19,18,688,6.354699999999999,true
HiddenCover,1048576,0.15,157286,random,0,335055,10721872,211.8914,true
HiddenCover,1048576,0.15,157286,random,1,334861,10715664,202.72979999999998,true
HiddenCover,1048576,0.15,157286,random,2,334511,10704464,214.2325,true
HiddenCover,1048576,0.15,157286,random,3,334523,10704848,210.2589,true
HiddenCover,1048576,0.15,157286,random,4,334910,10717232,215.92739999999998,true
HiddenCover,1048576,0.15,157286,random,5,335073,10722448,211.8075,true
HiddenCover,1048576,0.15,157286,random,6,334598,10707248,205.8264,true
HiddenCover,1048576,0.15,157286,random,7,334613,10707728,213.6132,true
HiddenCover,1048576,0.15,157286,random,8,334781,10713104,222.2057,true
HiddenCover,1048576,0.15,157286,random,9,334934,10718000,229.3581,true
HiddenCover,1048576,0.15,157286,random,10,335149,10724880,213.34900000000002,true
HiddenCover,1048576,0.15,157286,random,11,334815,10714192,218.3644,true
HiddenCover,1048576,0.15,157286,random,12,334817,10714256,215.4381,true
HiddenCover,1048576,0.15,157286,random,13,335261,10728464,222.6566,true
HiddenCover,1048576,0.15,157286,random,14,335204,10726640,226.1085,true
HiddenCover,1048576,0.15,157286,random,15,334858,10715568,232.0513,true
HiddenCover,1048576,0.15,157286,random,16,335160,10725232,238.5258,true
HiddenCover,1048576,0.15,157286,random,17,334851,10715344,214.5316,true
HiddenCover,1048576,0.15,157286,random,18,334706,10710704,211.6809,true
HiddenCover,1048576,0.15,157286,random,19,335158,10725168,216.629,true
HiddenCover,1048576,0.15,157286,dispersed,0,419430,13421872,262.2808,true
HiddenCover,1048576,0.15,157286,dispersed,1,419430,13421872,267.6959,true
HiddenCover,1048576,0.15,157286,dispersed,2,419430,13421872,251.60870000000003,true
HiddenCover,1048576,0.15,157286,dispersed,3,419430,13421872,245.6892,true
HiddenCover,1048576,0.15,157286,dispersed,4,419430,13421872,270.57579999999996,true
HiddenCover,1048576,0.15,157286,dispersed,5,419430,13421872,265.1834,true
HiddenCover,1048576,0.15,157286,dispersed,6,419430,13421872,274.1678,true
HiddenCover,1048576,0.15,157286,dispersed,7,419430,13421872,275.8479,true
HiddenCover,1048576,0.15,157286,dispersed,8,419430,13421872,272.1848,true
HiddenCover,1048576,0.15,157286,dispersed,9,419430,13421872,265.2322,true
HiddenCover,1048576,0.15,157286,dispersed,10,419430,13421872,277.7869,true
HiddenCover,1048576,0.15,157286,dispersed,11,419430,13421872,270.4723,true
HiddenCover,1048576,0.15,157286,dispersed,12,419430,13421872,257.8976,true
HiddenCover,1048576,0.15,157286,dispersed,13,419430,13421872,267.38820000000004,true
HiddenCover,1048576,0.15,157286,dispersed,14,419430,13421872,258.3435,true
HiddenCover,1048576,0.15,157286,dispersed,15,419430,13421872,262.68940000000003,true
HiddenCover,1048576,0.15,157286,dispersed,16,419430,13421872,262.6372,true
HiddenCover,1048576,0.15,157286,dispersed,17,419430,13421872,256.0274,true
HiddenCover,1048576,0.15,157286,dispersed,18,419430,13421872,272.7891,true
HiddenCover,1048576,0.15,157286,dispersed,19,419430,13421872,272.9535,true
