scheme,capacity,rate,revoked,measurement,public_state_bytes,authority_refresh_ms,token_bytes,verified
zkRevoke,1000000,0.050,50000,17,1600016,717.438100,32,true
zkRevoke,1000000,0.050,50000,18,1600016,721.537800,32,true
zkRevoke,1000000,0.050,50000,19,1600016,746.099200,32,true
zkRevoke,1000000,0.050,50000,20,1600016,750.492700,32,true
zkRevoke,1000000,0.050,50000,21,1600016,758.098100,32,true
zkRevoke,1000000,0.050,50000,22,1600016,725.431900,32,true
zkRevoke,1000000,0.050,50000,23,1600016,738.675700,32,true
zkRevoke,1000000,0.050,50000,24,1600016,733.056100,32,true
zkRevoke,1000000,0.050,50000,25,1600016,746.361600,32,true
zkRevoke,1000000,0.050,50000,26,1600016,744.218200,32,true
zkRevoke,1000000,0.050,50000,27,1600016,738.899500,32,true
zkRevoke,1000000,0.050,50000,28,1600016,723.995400,32,true
zkRevoke,1000000,0.050,50000,29,1600016,743.011100,32,true
zkRevoke,1000000,0.100,100000,0,3200016,1449.191700,32,true
zkRevoke,1000000,0.100,100000,1,3200016,1439.378300,32,true
zkRevoke,1000000,0.100,100000,2,3200016,1437.391000,32,true
zkRevoke,1000000,0.100,100000,3,3200016,1483.576900,32,true
zkRevoke,1000000,0.100,100000,4,3200016,1450.022600,32,true
zkRevoke,1000000,0.100,100000,5,3200016,1441.381700,32,true
zkRevoke,1000000,0.100,100000,6,3200016,1403.757500,32,true
zkRevoke,1000000,0.100,100000,7,3200016,1450.690500,32,true
zkRevoke,1000000,0.100,100000,8,3200016,1487.132500,32,true
zkRevoke,1000000,0.100,100000,9,3200016,1449.483300,32,true
zkRevoke,1000000,0.100,100000,10,3200016,1435.725000,32,true
zkRevoke,1000000,0.100,100000,11,3200016,1448.946300,32,true
zkRevoke,1000000,0.100,100000,12,3200016,1431.269300,32,true
zkRevoke,1000000,0.100,100000,13,3200016,1423.738200,32,true
zkRevoke,1000000,0.100,100000,14,3200016,1430.197400,32,true
zkRevoke,1000000,0.100,100000,15,3200016,1427.278000,32,true
zkRevoke,1000000,0.100,100000,16,3200016,1438.673500,32,true
zkRevoke,1000000,0.100,100000,17,3200016,1440.979100,32,true
zkRevoke,1000000,0.100,100000,18,3200016,1427.390200,32,true
zkRevoke,1000000,0.100,100000,19,3200016,1443.494500,32,true
zkRevoke,1000000,0.100,100000,20,3200016,1430.245700,32,true
zkRevoke,1000000,0.100,100000,21,3200016,1453.525900,32,true
zkRevoke,1000000,0.100,100000,22,3200016,1433.063200,32,true
zkRevoke,1000000,0.100,100000,23,3200016,1427.356600,32,true
zkRevoke,1000000,0.100,100000,24,3200016,1447.262700,32,true
zkRevoke,1000000,0.100,100000,25,3200016,1453.568300,32,true
zkRevoke,1000000,0.100,100000,26,3200016,1403.687400,32,true
zkRevoke,1000000,0.100,100000,27,3200016,1418.645000,32,true
zkRevoke,1000000,0.100,100000,28,3200016,1442.319400,32,true
zkRevoke,1000000,0.100,100000,29,3200016,1422.714000,32,true
zkRevoke,1000000,0.150,150000,0,4800016,2169.509600,32,true
zkRevoke,1000000,0.150,150000,1,4800016,2208.479600,32,true
zkRevoke,1000000,0.150,150000,2,4800016,2163.952800,32,true
zkRevoke,1000000,0.150,150000,3,4800016,2208.513000,32,true
zkRevoke,1000000,0.150,150000,4,4800016,2177.405800,32,true
zkRevoke,1000000,0.150,150000,5,4800016,2203.133900,32,true
zkRevoke,1000000,0.150,150000,6,4800016,2165.471100,32,true
zkRevoke,1000000,0.150,150000,7,4800016,2156.600400,32,true
zkRevoke,1000000,0.150,150000,8,4800016,2090.050500,32,true
zkRevoke,1000000,0.150,150000,9,4800016,2087.511000,32,true
zkRevoke,1000000,0.150,150000,10,4800016,2127.088000,32,true
zkRevoke,1000000,0.150,150000,11,4800016,2108.763100,32,true
zkRevoke,1000000,0.150,150000,12,4800016,2108.947600,32,true
zkRevoke,1000000,0.150,150000,13,4800016,2263.748100,32,true
zkRevoke,1000000,0.150,150000,14,4800016,2422.543700,32,true
zkRevoke,1000000,0.150,150000,15,4800016,2152.840000,32,true
zkRevoke,1000000,0.150,150000,16,4800016,2174.982000,32,true
zkRevoke,1000000,0.150,150000,17,4800016,2156.863600,32,true
zkRevoke,1000000,0.150,150000,18,4800016,2139.175400,32,true
zkRevoke,1000000,0.150,150000,19,4800016,2206.181200,32,true
zkRevoke,1000000,0.150,150000,20,4800016,2132.933600,32,true
zkRevoke,1000000,0.150,150000,21,4800016,2139.866000,32,true
zkRevoke,1000000,0.150,150000,22,4800016,2157.251800,32,true
zkRevoke,1000000,0.150,150000,23,4800016,2141.819800,32,true
zkRevoke,1000000,0.150,150000,24,4800016,2189.578500,32,true
zkRevoke,1000000,0.150,150000,25,4800016,2154.275500,32,true
zkRevoke,1000000,0.150,150000,26,4800016,2135.514200,32,true
zkRevoke,1000000,0.150,150000,27,4800016,2120.244200,32,true
zkRevoke,1000000,0.150,150000,28,4800016,2172.504200,32,true
zkRevoke,1000000,0.150,150000,29,4800016,2147.775900,32,true
